id,name,category,description
1,SonicPods Pro,Audio,wireless bluetooth earbuds with active noise cancellation and charging case
2,BassBoost Wired,Audio,wired in-ear earphones with tangle free cable and deep bass
3,BoomBox Mini,Audio,portable bluetooth speaker with 12 hour battery life and waterproof design
4,StudioSound Headset,Audio,over ear wired headphones with studio quality sound for music production
5,PixelBook Air,Laptop,lightweight ultrabook laptop with 13 inch display and long battery life
6,PowerStation Pro,Laptop,high performance gaming laptop with dedicated graphics card and RGB keyboard
7,SmartFit Band,Wearable,fitness tracker wristband with heart rate monitor and sleep tracking
8,PulseWatch X,Wearable,smartwatch with GPS heart rate monitor and bluetooth calling
9,ClickMaster Mouse,Accessory,wireless ergonomic mouse with programmable buttons for gaming
10,KeyFlow Mechanical,Accessory,mechanical keyboard with rgb backlight and tactile switches for typing
11,ChargeFast 65W,Accessory,fast charging power adapter with usb type c for laptop and phone
12,ViewPro Monitor,Display,27 inch 4k monitor with hdr support for gaming and design work
13,LensMaster Webcam,Accessory,1080p webcam with autofocus and built in microphone for video calls
14,SoundBar Home,Audio,home theater soundbar with subwoofer for surround sound experience
15,TabGlide 10,Tablet,10 inch tablet with stylus support for note taking and drawing
